WO,"District
","Ward
","Date
","Shift
","Supervisor
",# Staff OR Contracted Crew,"Hours Worked
",# of Equipment (Dump Trucks),In-House/ Contractor (RAW),"Dump Truck Provider 
Contractor",Location,From ,To,"Type (Road Class/ School, Bridge)
","Equip. Method
","# Loads
","Tonnes 
(auto-populates)
","One Side/ Both Sides
","# Km
",Snow Dumped Site,__submission_id
,TEY,4,3-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Geoffrey,Parkside,Roncesvalles,Local,Backhoe,17,170.0,One Side/ Both Sides,1.22,,
,TEY,4,3-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Westminster,Parkside,Roncesvalles,Local,Backhoe,,0.0,One Side/ Both Sides,1.2,,
,TEY,4,3-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH #2,12,,TOA1-5,,Cunningham Ave,O'hara,Dead end,Local,Backhoe,6,60.0,One Side/ Both Sides,0.26,,
,TEY,4,3-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH #2,12,,TOA1-5,,Seaforth Ave,O'hara,Lansdowne,Local,Backhoe,,0.0,One Side/ Both Sides,0.3,,
,TEY,4,3-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH #2,12,,TOA1-5,,West Lodge Ave,Seaforth,Dead end,Local,Backhoe,,0.0,One Side/ Both Sides,0.66,,
,TEY,4,3-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH#3,12,,TOA1-5,,Ritchie Ave,Roncesvalles,Dead end,Local,Backhoe,20,200.0,One Side/ Both Sides,0.68,,
,TEY,4,3-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH#3,12,,TOA1-5,,Herman Ave,Ritchie,Dead end,Local,Backhoe,,0.0,One Side/ Both Sides,0.2,,
,TEY,4,3-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH#3,12,,TOA1-5,,Golden Ave,Dundas St W,Dead end,Local,Backhoe,,0.0,One Side/ Both Sides,0.64,,
,TEY,4,3-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH#3,12,,TOA1-5,,Silver Ave,Golden,Morrow,Local,Backhoe,,0.0,One Side/ Both Sides,0.3,,
,TEY,4,3-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH#3,12,,TOA1-5,,Morrow Ave,Silver,Dundas,Local,Backhoe,,0.0,One Side/ Both Sides,0.18,,
,TEY,11,3-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BL #2,12,,TOA1-5,,Bathurst St,Lennox St,King St,Arterial,Blower,37,370.0,One Side,2.31,,
,TEY,11,3-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BL #2,12,,TOA1-5,,Bathurst St,King St,Dundas St,Arterial,Blower,,0.0,One Side,0.97,,
,TEY,11,3-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BL #2,12,,TOA1-5,,Leonard Ave,Wales Ave,Nassau St,Local,Blower,,0.0,Both Sides,0.42,,
,TEY,11,3-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Nassau St,Bathurst St,Spadina Ave,Collector,Backhoe,14,140.0,Both Sides,1.26,,
,TEY,11,3-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Bellevue St,College St,Wales Ave,Collector,Backhoe,,0.0,Both Sides,0.92,,
,TEY,11,3-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #1,12,,TOA1-5,,St Andrew St,Kensington St,Spadina Ave,Collector,Backhoe,,0.0,Both Sides,0.28,,
,TEY,11,3-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #2,12,,TOA1-5,,Huron St ,College St,Dundas St W,Collector,Backhoe,14,140.0,Both Sides,1.14,,
,TEY,11,3-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,Cecil St,Spadina Ave,Beverley St,Collector,Backhoe,,0.0,Both Sides,0.67,,
,TEY,11,3-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,Baldwin St,Spadina Ave,Beverley St,Collector,Backhoe,,0.0,Both Sides,0.67,,
,TEY,11,3-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,D'Arcy St,Spadina Ave,Beverley St,Local,Backhoe,,0.0,Both Sides,0.66,,
,EY,10,3-Mar-25,Night,Matthew Shaw/Sergio D'Amico,1 crew / TOA2-1 BL #1,12,,TOA2-1,,King St W,Jameson Ave,Bathurst St,Arterial,Blower,16,160.0,One Side,2.79,,
,EY,11,3-Mar-25,Night,Florian Osmanaj/Ahmad Nabavi,1 crew / TOA2-1 BL #2,12,,TOA2-1,,Dupont St,Christie St,Bathurst St,Arterial,Blower,,0.0,Both Sides,1.2,,
,EY,11 &12,3-Mar-25,Night,Florian Osmanaj/Ahmad Nabavi,1 crew / TOA2-1 BL #2,12,,TOA2-1,,Christie St,Bloor St,St Clair Ave,Arterial ,Blower,,0.0,Both Sides,4.16,,
,EY,3,3-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Lakeshore Blvd,First St,Borwns Line,"Arterial, Sidewalks, Bike Lanes",Blower,20,,Westbound,3.45,,
,EY,3,3-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Birmingham St,Kipling Ave,Twenty Second St,Collector,Blower,10,,Westbound,0.736,,
,EY,3,3-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Kipling Ave,Lakeshore Blvd,Birmigham St,Arterial,Blower,5,,Northbound,0.588,,
,EY,12,4-Mar-25,Day,Avinash Singh,1 crew / TOA2-1 BL #2,12,,TOA2-1,,Wells Hill Ave,St Clair Ave W,Melgund Road,"Local, Sidewalk",Blower,19,190.0,One Side/ Both Sides,0.316,,
,EY,12,4-Mar-25,Day,Avinash Singh,1 crew / TOA2-1 BL #2,12,,TOA2-1,,Melgund Road,Bathurst St,Wells Hill Ave,"Local, Sidewalk",Blower,,0.0,One Side/ Both Sides,0.43,,
,EY,12,4-Mar-25,Day,Avinash Singh,1 crew / TOA2-1 BL #2,12,,TOA2-1,,Hilton Ave,Nina St,Austin Terr,"Local, Sidewalk",Blower,,0.0,One Side/ Both Sides,0.34,,
,EY,12,4-Mar-25,Day,Avinash Singh,1 crew / TOA2-1 BL #2,12,,TOA2-1,,Austin Cres,Austin Terr,Dead-end,"Local, Sidewalk",Blower,,0.0,One Side/ Both Sides,0.398,,
,EY,12,4-Mar-25,Day,Avinash Singh,1 crew / TOA2-1 BL #2,12,,TOA2-1,,Austin Terr,Bathurst St,Austin Cres,"Local, Sidewalk",Blower,,0.0,One Side/ Both Sides,0.184,,
,EY,12,4-Mar-25,Day,Avinash Singh,1 crew / TOA2-1 BL #2,12,,TOA2-1,,Lyndhurst Ave,Nina St,Austin Terr,"Local, Sidewalk",Blower,,0.0,One Side/ Both Sides,0.514,,
,EY,12,4-Mar-25,Day,Avinash Singh,1 crew / TOA2-1 BL #2,12,,TOA2-1,,Lyndhurst Ct,Austin Terr,Nina St,"Local, Sidewalk",Blower,,,One Side/ Both Sides,0.514,,
,TEY,9,4-Mar-25,Day,Avinash Singh,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Sousa Mendes St,Wallace,Ruskin,"Local, Sidewalk",Blower,25,250.0,One Side/ Both Sides,0.394,,
,TEY,9,4-Mar-25,Day,Avinash Singh,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Edwin ,Ruskin Ave,Dupont St,"Local, Sidewalk",Blower,,0.0,One Side/ Both Sides,0.66,,
,TEY,9,4-Mar-25,Day,Avinash Singh,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Chandos Ave,Dufferin St ,Chandos,"Local, Sidewalk",Blower,,0.0,One Side/ Both Sides,0.75,,
,TEY,9,4-Mar-25,Day,Avinash Singh,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Brandon Ave,Dufferin,St Clarens Ave,"Local, Sidewalk",Blower,,0.0,One Side/ Both Sides,1.036,,
,TEY,9,4-Mar-25,Day,Avinash Singh,1 crew / TOA1-5 BL #1,12,,TOA1-5,,St Clarens Ave,Brandon ,Davenport Road,"Local, Sidewalk",Blower,,0.0,One Side/ Both Sides,0.6,,
,TEY,9,4-Mar-25,Day,Avinash Singh,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Primrose ,Davenport Road,Dead end,"Local, Sidewalk",Blower,,0.0,One Side/ Both Sides,0.872,,
,TEY,9,4-Mar-25,Day,Avinash Singh,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Lightbourn,Davenport,Geary Ave,"Local, Sidewalk",Blower,,0.0,One Side/ Both Sides,0.78,,
,TEY,9,4-Mar-25,Day,Avinash Singh,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Beaver Ave,Dufferin St,Dead end,"Local, Sidewalk",Blower,,0.0,One Side/ Both Sides,0.736,,
,EY,9,4-Mar-25,Day,Ian MacMillian,1 crew / TOA2-1 BL #1,12,,TOA2-1,,Jameson Ave,King St,Queen St,"Arterial, Sidewalk",Blower,13,130.0,One Side,0.37,,
,EY,9,4-Mar-25,Day,Ian MacMillian,1 crew / TOA2-1 BL #1,12,,TOA2-1,,Harpreet Circle,Humberwood Blvd,Humberwood Blvd,"Local, Sidewalk",Blower,,0.0,One Side,0.302,,
,EY,4,4-Mar-25,Dennis Kelly / John Holowczak,Local Zone 4,1 crew / TOA 2-5 VBN #3,12,,TOA2-5,,Shipman St,Maria St,Dead end,Local,Loader,12,,Both Sides,0.112,,
,EY,4,4-Mar-25,Dennis Kelly / John Holowczak,Local Zone 4,1 crew / TOA 2-5 VBN #3,12,,TOA2-5,,Bolar St,Maria St,Dead end,Local,Loader,,,Both Sides,0.178,,
,EY,4,4-Mar-25,Dennis Kelly / John Holowczak,Local Zone 4,1 crew / TOA 2-5 VBN #3,12,,TOA2-5,,Clendenan Ave,Dundas St ,Dead end,Local,Loader,,,Both Sides,0.36,,
,EY,4,4-Mar-25,Dennis Kelly / John Holowczak,Local Zone 4,1 crew / TOA 2-5 VBN #3,12,,TOA2-5,,Quebec Ave,Dundas St ,Dead end,Local,Loader,,120.0,Both Sides,0.374,,
,EY,4,4-Mar-25,Dennis Kelly / John Holowczak,Local Zone 4,1 crew / TOA 2-5 VBN #3,12,,TOA2-5,,McMurray Ave,Dundas St ,Dead end,Local,Loader,,,Both Sides,0.38,,
,EY,4,4-Mar-25,Dennis Kelly / John Holowczak,Local Zone 4,1 crew / TOA 2-5 VBN #3,12,,TOA2-5,,Vine Ave,McMurray Ave,Keele St,Local,Loader,,,Both Sides,1.022,,
,EY,4,4-Mar-25,Dennis Kelly / John Holowczak,2,12 crew / TOA2-5 VBN,12,,TOA2-5,,Ninth St,LSBW,Lake Shore Dr,Local/School,Loader,45,,Both Sides,1.22,,
,EY,4,4-Mar-25,Dennis Kelly / John Holowczak,2,12 crew / TOA2-5 VBN,12,,TOA2-5,,Eighth St,LSBW,Emerald Cres,Local/School,Loader,,,Both Sides,1.12,,
,EY,4,4-Mar-25,Dennis Kelly / John Holowczak,2,12 crew / TOA2-5 VBN,12,,TOA2-5,,Emerald Cres,Tenth St,Fifth St,Local/School,Loader,,,Both Sides,1.02,,
,EY,4,4-Mar-25,Dennis Kelly / John Holowczak,2,12 crew / TOA2-5 VBN,12,,TOA2-5,,Sixth St,Morrison St,Lakeshore Dr,Local/School,Loader,,,Both Sides,0.776,,
,EY,4,4-Mar-25,Dennis Kelly / John Holowczak,2,12 crew / TOA2-5 VBN,12,,TOA2-5,,Lake Shore Dr,Ninth St,Fifth St,Local/School,Loader,,450.0,Both Sides,0.8,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Grenadier Rd,Roncesvalles,Sorauren,Local,Blower,16,160.0,One Side/ Both Sides,0.85,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Sorauren Ave,Grenadier,Geoffrey,Local,Blower,,0.0,One Side/ Both Sides,0.198,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Geoffrey St,Sorauren,Roncesvalles,Local,Blower,,0.0,One Side/ Both Sides,0.864,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Westminster Ave,Roncesvalles,Sorauren,Local,Blower,,0.0,One Side/ Both Sides,0.86,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Sorauren Ave,Geoffrey,Fermonaugh,Local,Blower,,0.0,One Side/ Both Sides,0.408,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Fermanaugh Ave,Sorauren,Roncesvalles,Local,Blower,,0.0,One Side/ Both Sides,0.858,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Wright Ave,Roncesvalles,Macdonell ,Local,Blower,,0.0,One Side/ Both Sides,1.356,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Rideau Ave,Macdonell ,Landsdowne Ave??,Local,Blower,,0.0,One Side/ Both Sides,0.2,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BL #1,12,,TOA1-5,,Wabash Ave,Macdonell ,Sorauren,Local,Blower,,0.0,One Side/ Both Sides,0.458,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Westminster Ave,Roncesvalles,Parkside,Local,Backhoe,20,200.0,One Side/ Both Sides,1.214,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Grenadier Rd,Parkside,Sunnyside,Local,Backhoe,,0.0,One Side/ Both Sides,0.824,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH #2,12,,TOA1-5,,Seaforth Ave,Macdonell,Lansdowne,Local,Backhoe,14,140.0,One Side/ Both Sides,0.21,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH #2,12,,TOA1-5,,Macdonell Ave,Queen,Seaforth,Local,Backhoe,,0.0,One Side/ Both Sides,0.478,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH #2,12,,TOA1-5,,Fuller Ave,Queen,Pearson,Local,Backhoe,,0.0,One Side/ Both Sides,0.728,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH#3,12,,TOA1-5,,Lynd Ave,Grenadier,Dundas,Local,Backhoe,14,140.0,One Side/ Both Sides,0.746,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH#3,12,,TOA1-5,,Neepawa Ave,Roncesvalles,Lynd,Local,Backhoe,,,One Side/ Both Sides,0.192,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH#3,12,,TOA1-5,,Parkway Ave,Dundas,Grenadier,Local,Backhoe,,,One Side/ Both Sides,0.606,,
,TEY,9,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH#3,12,,TOA1-5,,Margueretta St,College,Dundas,Local,Backhoe,,,One Side/ Both Sides,0.352,,
,TEY,9,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH#3,12,,TOA1-5,,Moutray St,Brock,Sheridan,Local,Backhoe,,0.0,One Side/ Both Sides,0.298,,
,TEY,9,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH#3,12,,TOA1-5,,Atkins,Brock,Sheridan,Local,Backhoe,,0.0,One Side/ Both Sides,0.288,,
,TEY,4,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH#3,12,,TOA1-5,,Coloumbus Ave,Sorauren,Dead end,Local,Backhoe,,0.0,One Side/ Both Sides,0.254,,
,TEY,9,4-Mar-25,Day ,Arsalan Saeed,1 crew / TOA1-5 BH#3,12,,TOA1-5,,St Clarens Ave,Dundas,College,Local,Backhoe,,0.0,One Side/ Both Sides,0.268,,
,EY,3,4-Mar-25,Day ,Dennis Kelly / John Holowczak,1 crew/ TOA2-5 VBN #2,12,,TOA2-5,,Royal York,Norseman St,Albani St,"Arterial, Sidewalks",Loader,22,220.0,Eastbound,3.8,,
,EY,3,4-Mar-25,Day ,Dennis Kelly / Mariusz Gontarski,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Kipling Ave ,Birmingham St,Evans Ave,Arterial,Blower,29,290.0,Northbound,1.76,,
,EY,3,4-Mar-25,Day ,Dennis Kelly / Mariusz Gontarski,1 crew / TOA2-5 BL #2,12,,TOA2-5,,Kipling Ave ,Evans Ave,LSBW,Arterial,Blower,,,Southbound,2.054,,
,EY,3,4-Mar-25,Day ,Dennis Kelly / Mariusz Gontarski,1 crew / TOA2-5 BL #3,12,,TOA2-5,,Torlake Cres,Kipling Ave ,Kipling Ave ,Local,Blower,,,Both sides,1.75,,
,EY,3,4-Mar-25,Day ,Dennis Kelly / Mariusz Gontarski,1 crew / TOA2-5 BL #4,12,,TOA2-5,,Nineteenth St,Birmingham St,LSBW,Birmingham St,Blower,,,Both sides,0.57,,
,EY,3,4-Mar-25,Day ,Dennis Kelly / Mariusz Gontarski,1 crew / TOA 2-5 BL #5,12,,TOA2-5,,Twentieth St,Birmingham St,LSBW,Local,Blower,,,Both sides,0.56,,
,EY,3,4-Mar-25,Day ,Dennis Kelly / Mariusz Gontarski,1 crew / TOA2-5 BL #6,12,,TOA2-5,,Twenty First St,Birmingham St,LSBW,Local,Blower,,,Both sides,0.566,,
,EY,3,4-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Lakeshore Blvd,Twenty first ST,Thirtieth St,Arterial,Blower,,0.0,Westbound,0.705,,
,EY,3,4-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Twenty Second St,Lakeshore Blvd,Birmingham St,Local,Blower,,0.0,Both sides,0.576,,
,EY,3,4-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Twenty Fourth St,Lakeshore Blvd,Birmingham St,Local,Blower,,0.0,Both sides,0.576,,
,EY,3,4-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Twenty Sixth St,Lakeshore Blvd,Elder Ave,Local,Blower,,0.0,Both sides,0.572,,
,EY,3,4-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Twenty Ninth St,Lakeshore Blvd,Elder Ave,Local,Blower,,0.0,Both sides,0.594,,
,EY,3,4-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Thirtieth St,Lakeshore Blvd,Elder Ave,Local,Blower,,0.0,Both sides,0.556,,
,EY,3,4-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Fairfileld Ave,Twenty Fourth St,Twenty Ninth St,Local,Blower,,0.0,Both sides,0.984,,
,EY,3,4-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Daisy Ave,Twenty Fourth St,Twenty Sixth St,Local,Blower,17,170.0,Both sides,0.654,,
,EY,4,4-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #2,12,,TOA2-5,,Annette St,Jane St ,Keele St,Arterial,Blower,,0.0,Eastbound,2.07,,
,EY,4,4-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #2,12,,TOA2-5,,Jane St,Dundas St,Bloor St,Arterial,Blower,14,140.0,Both sides,1.9,,
,TEY,11,4-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BL #2,12,,TOA1-5,,Spadina Ave,Bloor St,Bernard Ave,Arterial,Loader,25,250.0,Both sides,1.256,,
,TEY,11,4-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BL #2,12,,TOA1-5,,Bedford Rd,Bloor St,Prince Arthur Ave,"Collector, TTC Station",Loader,,,Both sides,0.28,,
,TEY,11,4-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Augusta Ave,Dundas St W ,College St,Collector,Backhoe,8,80.0,Both sides,1.176,,
,TEY,11,4-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Baldwin St,Spadina Ave,Augusta Ave,Local,Backhoe,,,Both sides,0.494,,
,TEY,11,4-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Oxford St,Spadina Ave,Lippincott St,Local,Backhoe,,,Both sides,1.044,,
,TEY,11,4-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Lippincott St,College St ,Nassau St,Local,Backhoe,,,Both sides,0.488,,
,TEY,11,4-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Leonard Ave,Nassau St ,Wales Ave,Local,Backhoe,,,Both sides,0.43,,
,TEY,11,4-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,Beverley St,Cecil St,College St,Collector,Backhoe,9,90.0,Both sides,0.396,,
,TEY,11,4-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,Henry St,Baldwin st ,College St,Local,Backhoe,,,Both sides,0.676,,
,TEY,11,4-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,Baldwin St,Beverley St,McCaul St,Local,Backhoe,,,Both sides,0.388,,
,TEY,11,4-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,D'Arcy St,Beverley St,McCaul St,Local,Backhoe,,,Both sides,0.388,,
,TEY,11,4-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,Cecil St,Henry St,Ross St,Local,Backhoe,,,Both sides,0.388,,
,EY,4,4-Mar-25,Night,Matthew Shaw/Sergio D'Amico,1 crew / TOA2-1 BL #1,12,,TOA2-1,,Parkside Dr,Lake Shore Blvd,Bloor St,Arterial,Blower,8,80.0,One Side,1.97,,
,EY,4,4-Mar-25,Night,Matthew Shaw/Sergio D'Amico,1 crew / TOA2-1 BL #1,12,,TOA2-1,,Keele St,Bloor St W,Greenlane Ave,Arterial,Blower,,,One Side,5.63,,
,EY,12 & 9,4-Mar-25,Night,Florian Osmanaj/Ahmad Nabavi,1 crew / TOA2-1 BL #2,12,,TOA2-1,,Dupont St,Christie St,Dufferin St,Arterial,Blower,32,320.0,Both Sides ,2.94,,
,EY,11,4-Mar-25,Night,Florian Osmanaj/Ahmad Nabavi,1 crew / TOA2-1 BL #2,12,,TOA2-1,,Ossington Ave,Bloor St W,Dupont St,Arterial,Blower,,,Both Sides,1.88,,
,EY,2,5-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Martin Grove,Burnhamthrope ,Eglinton ,Arterial,Blower,15,150.0,Both Sides,6.24,,
,EY,3,5-Mar-25,Night,Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Thirtieth St,Lake Shore Blvd w,Evans,Arterial,Blower,,0.0,Both Sides,3.66,,
,TEY,4,4-Mar-25,Day / Night,Dennis Kelly / Sami Alani,1 crew / TOA2-5 BL #2,12,,TOA2-5,,Annette St,Jane St,Keele St,Arterial,Blower,7,70.0,Both Sides,4.14,,
,TEY,4,4-Mar-25,Day / Night,Dennis Kelly / Sami Alani,1 crew / TOA2-5 BL #2,12,,TOA2-5,,Dundas St,Bloor St,Keele St,Arterial,Blower,7,70.0,Both Sides,3.1,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BL #2,12,,TOA1-5,,Spadina Ave,Bernard Ave,Dupont St,Arterial,Loader,25,250.0,Both Sides,0.598,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BL #2,12,,TOA1-5,,Spadina Ave,Bloor St,College St,Arterial,Loader,,0.0,Both Sides,2.14,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BL #2,12,,TOA1-5,,Walmer Rd,Lowther Ave,Bloor St,Collector,Loader,,0.0,Both Sides,0.5,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Hickory St,Dundas St W,Dead End,Local,Backhoe,14,140.0,Both Sides,0.138,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Wales Ave,Augusta Ave,Carlyle St,Local,Backhoe,,0.0,Both Sides,0.544,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Kensington Ave,Dundas St W ,Baldwin St,Collector,Backhoe,,0.0,Both Sides,0.5,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Balmoral Ave,Avenue Rd,Yonge St,Collector,Backhoe,,0.0,Both Sides,1.212,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1 crew / TOA1-5 BH #1,12,,TOA1-5,,Clarendon Ave,Poplar Plains Rd,Avenue Rd,Local,Backhoe,,0.0,Both Sides,0.386,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,McCaul St,Dundas St W,College St ,Collector,Backhoe,13,130.0,Both Sides,1.13,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,Elm St ,University Ave,McCaul St,Collector,Backhoe,,0.0,Both Sides,0.48,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,Orde St,University Ave,McCaul St,Collector,Backhoe,,0.0,Both Sides,0.48,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,St Patrick St,Elm St ,Dundas St W,Local,Backhoe,,0.0,Both Sides,0.348,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,Simcoe St,Elm St ,Dundas St W,Local,Backhoe,,0.0,Both Sides,0.366,,
,TEY,11,5-Mar-25,Night,Matthew Shaw,1,12,,TOA1-5,,Murray St,Orde St ,Elm St,Local,Backhoe,,0.0,Both Sides,0.52,,
,EY,12,5-Mar-25,Night,Florian Osmanaj/Ahmad Nabavi,1 crew / TOA2-1 BL #2,12,,TOA2-1,,Ossington Ave,Dupont St ,Davenport Rd,Arterial,Blower,22,220.0,Both Sides,1.056,,
,EY,12,5-Mar-25,Night,Florian Osmanaj/Ahmad Nabavi,1 crew / TOA2-1 BL #2,12,,TOA2-1,,Davenport Rd,Christie St,Dufferin St,Arterial,Blower,,0.0,Both Sides,2.96,,
,EY,10,5-Mar-25,Night,Matthew Shaw/Sergio D'Amico,1 crew / TOA2-1 BL #1,12,,TOA2-1,,Queen St W,Dufferin St,Bathurst St,Arterial,Blower,11,110.0,Both Sides,4.12,,
,EY,3,6-Mar-25,Day,Dennis Kelly / Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Forty Second St,LSBW,Lake Promenade,Arterial,Blower,43,430.0,Both sides,1.094,,
,EY,3,6-Mar-25,Day,Dennis Kelly / Sami Alani,1 crew / TOA2-5 BL #1,12,,TOA2-5,,Forty First St,LSBW,Lake Promenade,Arterial,Blower,,,Both sides,1.124,,
